id,choice_id,outcome_id,value
1,1,1,2
2,1,2,4
3,1,3,0
4,1,4,0
5,2,1,0
6,2,2,0
7,2,3,4
8,2,4,0
9,3,1,2
10,3,2,3
11,3,3,0
12,3,4,0
13,4,1,4
14,4,2,0
15,4,3,0
16,4,4,0
17,5,1,0
18,5,2,0
19,5,3,4
20,5,4,0
21,6,1,0
22,6,2,0
23,6,3,2
24,6,4,0
25,7,1,0
26,7,2,0
27,7,3,0
28,7,4,0
29,8,1,0
30,8,2,0
31,8,3,0
32,8,4,0
33,9,1,4
34,9,2,0
35,9,3,0
36,9,4,0
37,10,1,0
38,10,2,0
39,10,3,0
40,10,4,0
41,11,1,0
42,11,2,3
43,11,3,0
44,11,4,0
45,12,1,0
46,12,2,4
47,12,3,2
48,12,4,3
49,13,1,2
50,13,2,1
51,13,3,0
52,13,4,0
53,13,5,0
54,13,6,0
55,14,1,0
56,14,2,0
57,14,3,1
58,14,4,2
59,14,5,0
60,14,6,0
61,15,1,0
62,15,2,0
63,15,3,0
64,15,4,0
65,15,5,0
66,15,6,0
67,16,1,0
68,16,2,0
69,16,3,0
70,16,4,0
71,16,5,0
72,16,6,0
73,17,1,0
74,17,2,0
75,17,3,0
76,17,4,0
77,17,5,0
78,17,6,0
79,18,1,0
80,18,2,0
81,18,3,0
82,18,4,1
83,18,5,2
84,18,6,2
85,19,1,1
86,19,2,0
87,19,3,0
88,19,4,0
89,19,5,0
90,19,6,0
91,20,1,0
92,20,2,0
93,20,3,0
94,20,4,0
95,20,5,0
96,20,6,0
97,21,1,0
98,21,2,0
99,21,3,0
100,21,4,0
101,21,5,0
102,21,6,0
103,22,1,0
104,22,2,0
105,22,3,0
106,22,4,0
107,22,5,0
108,22,6,0
109,23,1,0
110,23,2,0
111,23,3,0
112,23,4,0
113,23,5,0
114,23,6,0
115,24,1,0
116,24,2,0
117,24,3,0
118,24,4,0
119,24,5,0
120,24,6,0
121,25,1,0
122,25,2,1
123,25,3,2
124,25,4,2
125,25,5,1
126,25,6,0
127,26,1,0
128,26,2,0
129,26,3,0
130,26,4,0
131,26,5,0
132,26,6,0
133,27,1,0
134,27,2,0
135,27,3,0
136,27,4,0
137,27,5,0
138,27,6,0
139,28,1,0
140,28,2,0
141,28,3,0
142,28,4,0
143,28,5,0
144,28,6,0
145,29,1,0
146,29,2,0
147,29,3,0
148,29,4,0
149,29,5,2
150,29,6,1
151,30,1,0
152,30,2,0
153,30,3,0
154,30,4,0
155,30,5,0
156,30,6,0
157,31,1,1
158,31,2,2
159,31,3,0
160,31,4,0
161,31,5,0
162,31,6,0
163,32,1,0
164,32,2,0
165,32,3,0
166,32,4,0
167,32,5,0
168,32,6,0
169,33,1,0
170,33,2,0
171,33,3,0
172,33,4,0
173,33,5,0
174,33,6,0
175,34,1,0
176,34,2,0
177,34,3,0
178,34,4,0
179,34,5,0
180,34,6,0
181,35,1,0
182,35,2,0
183,35,3,0
184,35,4,0
185,35,5,0
186,35,6,0
187,36,1,0
188,36,2,0
189,36,3,0
190,36,4,0
191,36,5,0
192,36,6,1
193,37,1,2
194,37,2,2
195,37,3,1
196,37,4,0
197,37,5,0
198,37,6,0
199,38,1,0
