id,question
1,I am constantly coming up with ideas for things I want to do.
2,I struggle when something unexpected throws off my plans.
3,"If someone says something harmful, if given time to think it over, I will respond calmly."
4,I prefer a variety of bright colors over a more monochromatic color scheme.
5,My friends and family count on me to take care of things.
6,I have just one or two things I am passionate about.
7,I get overwhelmed when given several choices.
8,I am guarded about my feelings.
9,I have difficulty clearly communicating what's on my mind.
10,"When faced with a problem, I carefully consider all solutions before choosing the most optimal one."
11,"If someone says something hurtful, my gut reaction is highly emotional."
12,I prefer a clear plan over winging it.
13,I prefer jumping from task to task rather than focusing on one thing at a time.
14,I am the mom/dad friend in my group.
15,I appear calm when faced with difficulties.
16,I prefer clear expectations over open-ended ones.
17,My friends see me as emotional.
18,"I love being in an environment with strict, clear rules."
19,I like doing things spontaneously.
20,I rarely finish projects.
21,People know exactly what I'm feeling.
22,"If I desire something, I go after it without much thought."
23,I would rather be assigned to a project than come up with one.
24,"When I am anxious, I tend to let my emotions consume me."
25,I prefer diving into a project rather than planning it out.
26,I have trouble focusing on one project at a time.
27,"When I am anxious, my first reaction is to analyze why so I can solve my problem."
28,Rules stifle my creativity.
29,I would rather read a book than go outside.
30,I feel like my mind is in a constant state of chaos.
